,N° Toma,Frame de inicio,Tiempo de inicio(seg),Delta_hue,Delta_sat,Delta_lumi,Delta_prom
0,1.0,1103.0,46.04596425002776,39.470901268115945,20.736611186594203,16.085456295289855,47.39937757659926
1,2.0,1197.0,49.9665445394323,7.260275135869565,6.363875679347826,1.1029211956521738,9.717352719467346
2,3.0,1392.0,58.09966322489915,5.5226449275362315,14.935631793478262,20.268766983695652,25.775872809768273
3,4.0,1474.0,61.51974390289035,59.22562839673913,39.66247735507246,28.747707201086957,76.858427242884
4,5.0,1565.0,65.31519928944155,55.533004981884055,38.7717674365942,16.813887001811594,69.78446380524103
5,6.0,1625.0,67.81769734650827,2.2622282608695654,12.122792119565217,1.58203125,12.433124641635587
6,7.0,1669.0,69.65286258835721,2.6368602807971016,19.352949501811594,2.6146682518115942,19.705993418935936
7,8.0,1739.0,72.57244365493506,9.527853260869565,7.723845108695652,2.1111016757246377,12.445662750895668
8,9.0,1823.0,76.07594093482847,33.68478260869565,42.27921195652174,23.491961050724637,58.94122985710715
9,10.0,1882.0,78.53673069094408,42.30624433876812,38.106119791666664,5.904211956521739,57.24294187457467
10,11.0,1962.0,81.87339476703305,3.0091428894927534,3.5114923007246377,8.364017210144928,9.557316725892981
11,12.0,2401.0,100.18333888457126,6.322605298913044,25.905429121376812,9.889492753623188,28.44061642532536
12,13.0,2674.0,111.56970504422488,43.99926403985507,22.793365036231883,4.149541440217392,49.726164339187505
13,14.0,2761.0,115.19832722697163,22.5213428442029,29.642946105072465,49.55163043478261,61.97805430988967
14,15.0,2823.0,117.78424188594057,42.01834239130435,9.502462635869565,48.56711390398551,64.91996955037551
15,16.0,2907.0,121.287739165834,46.23573369565217,19.74807518115942,28.759595788043477,57.92101426621981
16,17.0,2966.0,123.7485289219496,24.665534420289855,8.49501811594203,1.5853713768115942,26.135556688754505
17,18.0,3051.0,127.29373450279414,18.36919723731884,43.70374773550725,29.951398324275363,56.07612000532653
18,19.0,3215.0,134.13389585877653,2.130548007246377,21.96784420289855,9.786967844202898,24.14353232891713
19,20.0,3334.0,139.09718367195887,16.237630208333332,8.022022192028986,7.860818614130435,19.743503845980435
20,21.0,3439.0,143.47655527182565,2.730666893115942,24.81555706521739,7.1531363224637685,25.969901297193463
21,22.0,3540.0,147.68909366788793,4.7449331974637685,50.82622848731884,7.493461277173913,51.5943006077807
22,23.0,3616.0,150.85892454017247,40.66975203804348,51.59564651268116,8.785892210144928,66.28221007046893
23,24.0,3672.0,153.19458939343477,7.145606884057971,16.20623867753623,35.44570878623188,39.62448915977497
24,25.0,3731.0,155.65537914955036,6.222712862318841,17.783712635869566,7.0418365036231885,20.1139268126792
25,26.0,3806.0,158.78350172088378,32.09898663949275,47.53835484601449,132.4464447463768,144.33399062834425
26,27.0,3898.0,162.62066540838606,17.318727355072465,12.571727807971014,38.8395606884058,44.34521543239365
27,28.0,3988.0,166.37441249398617,8.215551403985508,55.73046875,37.95516304347826,67.92624554340739
28,29.0,4070.0,169.79449317197734,25.902060688405797,35.804885643115945,11.788722826086957,45.737080904806014
29,30.0,4168.0,173.88190666518634,4.888870018115942,9.855327219202898,5.152994791666667,12.148328279007705
30,31.0,4185.0,174.59094778135523,4.392210144927536,76.69579370471014,70.26766304347827,104.11090601634615
31,32.0,4311.0,179.84619370119538,35.32687952898551,23.06915194746377,116.3525249094203,123.76624839441445
32,33.0,4442.0,185.30998112579107,1.6486356431159421,6.734375,20.64855072463768,21.781470408407063
33,34.0,4500.0,187.72906258095557,26.197718523550726,49.71577785326087,30.074048913043477,63.73717472102218
34,35.0,4549.0,189.77276932756007,13.276154891304348,37.72537364130435,19.158429574275363,44.34529883568713
35,36.0,4634.0,193.31797490840458,5.786996150362318,6.415704257246377,1.1986809329710144,8.72281041521744
36,37.0,4744.0,197.9058880130269,3.904296875,25.76868206521739,84.6897361865942,88.60936702641158
37,38.0,4810.0,200.65863587580031,52.134086277173914,9.53509963768116,49.16295855978261,72.29023150749501
38,39.0,4915.0,205.0380074756671,13.252349411231885,20.03410892210145,0.022588315217391304,24.02063270299072
39,40.0,4976.0,207.5822138336849,69.6481544384058,23.185065670289855,7.825718976449275,73.82177567838663
40,41.0,5031.0,209.8761703859961,49.87157495471015,39.27725883152174,9.77340919384058,64.2292501672865
41,42.0,5093.0,212.46208504496502,17.56343410326087,49.19899230072464,16.24530117753623,54.70763083204398
42,43.0,5153.0,214.96458310203175,44.87491508152174,63.02734375,18.811622509057973,79.62462687622309
43,44.0,5211.0,217.38366455719625,2.250113224637681,1.0824558423913044,8.951879528985508,9.293592807729757
44,45.0,5260.0,219.42737130380075,28.968325407608695,67.0719825634058,7.780683876811594,73.47349020903931
45,46.0,5321.0,221.9715776618186,26.790251358695652,25.093042346014492,1.8326256793478262,36.752372153666165
46,47.0,5493.0,229.14540542540988,9.105100769927537,2.9554744112318843,6.691972373188406,11.679905105329338
47,48.0,5653.0,235.8187335775878,23.25996376811594,53.11803668478261,3.0165307971014492,58.06592110515288
48,49.0,5686.0,237.1951075089745,17.3671875,12.686112998188406,1.5884001358695652,21.565706101460986
49,50.0,5814.0,242.53377003071688,2.874122509057971,39.64821105072464,13.684188179347826,42.04162491921168
50,51.0,5861.0,244.49406017541912,25.28300498188406,28.475883152173914,4.401154891304348,38.33375048945105
51,52.0,5900.0,246.1206839125125,20.492668704710145,89.26907835144928,11.020012454710145,92.25160429423525
52,53.0,5994.0,250.04126420191704,11.978600543478262,85.8530910326087,7.456606657608695,87.0048337374419
